wl[Å],meas. Brilliance (no average),error (no smooth),rel. error (no smooth),meas. Brilliance (0.1Å average),error (5ch=0.1AA smooth),rel. error (5ch=0.1AA smooth)
0.7166056166,6.96E+010,7.42E+010,1.0662697203,58350338662.3047,57102036598.3325,0.9786067726
0.7380735314,9.74E+010,7.20E+010,0.738783816,77157566000.399,55702399334.101,0.7219304888
0.7595414462,4.05E+010,6.91E+010,1.706573434,98307398909.2136,54415650238.2641,0.5535254807
0.781009361,1.10E+011,6.86E+010,0.6231013588,123873372305.413,53239115352.7025,0.4297865987
0.8024772758,1.74E+011,6.70E+010,0.3851721463,120836448990.174,51950001607.7057,0.4299199624
0.8239451906,1.97E+011,6.61E+010,0.3348491898,135102762688.036,50839608527.4362,0.3763032488
0.8454131054,8.23E+010,6.34E+010,0.7705869392,134015575420.461,49700879790.3862,0.3708589814
0.8668810202,1.12E+011,6.36E+010,0.5685375174,131280464568.744,48619873606.8544,0.3703511697
0.888348935,1.05E+011,6.37E+010,0.6086448963,124269242990.519,47569692934.1376,0.3827953868
0.9098168498,1.60E+011,6.30E+010,0.3928369111,136831606318.285,46685462117.2963,0.3411891695
0.9312847646,1.62E+011,5.93E+010,0.3651051741,156765745369.618,45897867319.1129,0.2927799515
0.9527526794,1.45E+011,5.88E+010,0.4055082344,152684946554.242,44996800056.5318,0.294703578
0.9742205942,2.12E+011,5.76E+010,0.2723782571,159277348511.657,44211826511.8441,0.2775776149
0.995688509,8.42E+010,5.78E+010,0.6864086646,169381857309.022,43486803510.7911,0.2567382611
1.0171564238,1.93E+011,5.69E+010,0.2944474794,160456138944.971,42673767179.5121,0.2659528483
1.0386243386,2.13E+011,5.56E+010,0.2612050404,154637624484.594,41921440699.8589,0.2710947018
1.0600922534,1.00E+011,5.61E+010,0.5590503335,174181002781.695,41349251476.5379,0.2373924298
1.0815601682,1.82E+011,5.25E+010,0.2880705153,190192881320.642,40791652507.3359,0.2144751803
1.103028083,1.82E+011,5.41E+010,0.297378156,195634480531.283,40195134999.3327,0.2054603815
1.1244959978,2.73E+011,5.37E+010,0.196660058,208799713565.484,39662290746.4605,0.1899537603
1.1459639126,2.40E+011,5.06E+010,0.2106868009,216613126672.97,39126187758.5497,0.1806270394
1.1674318274,1.66E+011,5.16E+010,0.3106154345,233664889755.496,38669202163.0513,0.1654899981
1.1888997422,2.21E+011,5.09E+010,0.230030016,231778993293.895,38122762480.8592,0.1644789372
1.210367657,2.67E+011,5.22E+010,0.1953069683,234707427755.015,37623872081.5164,0.1603011564
1.2318355718,2.64E+011,5.09E+010,0.1927692906,253352386104.799,37234530327.768,0.146967356
1.2533034866,2.55E+011,4.87E+010,0.1911943612,259962425647.631,36792428385.4387,0.1415297934
1.2747714014,2.59E+011,4.93E+010,0.1898909973,264846528536.514,36359868913.1944,0.1372865603
1.2962393162,2.55E+011,4.96E+010,0.195045001,267861444951.178,35931734058.5145,0.134142986
1.317707231,2.92E+011,4.90E+010,0.1681039494,284392435068.24,35599764479.1831,0.1251783103
1.3391751458,2.79E+011,4.83E+010,0.1731681109,294086414306.338,35240259611.5323,0.1198296075
1.3606430606,3.37E+011,4.79E+010,0.141935797,294275331517.811,34836830984.8291,0.1183817577
1.3821109754,3.08E+011,4.73E+010,0.1535541879,300238004568.7,34483701994.7904,0.1148545536
1.4035788902,2.55E+011,4.76E+010,0.186149189,309876191059.753,34163921008.3655,0.1102502289
1.425046805,3.21E+011,4.68E+010,0.145700847,308242157914.941,33792140630.6103,0.1096285494
1.4465147198,3.27E+011,4.75E+010,0.1453281781,298888868206.233,33384545802.0017,0.1116955141
1.4679826346,3.29E+011,4.65E+010,0.1413182731,309603114782.073,33104555144.5204,0.106925782
1.4894505495,2.61E+011,4.50E+010,0.1724754135,304484178489.845,32744584962.8844,0.1075411705
1.5109184643,3.09E+011,4.60E+010,0.1486946287,297004571296.331,32381444287.5215,0.1090267539
1.5323863791,2.96E+011,4.57E+010,0.1543521672,306826691673.385,32130555293.657,0.1047189054
