wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
7.30618129E-01, 7.51852379E-01, 3.35052680E-03, 7.65244696E-03
7.51852379E-01, 7.73085224E-01, 3.45877403E-03, 7.65325691E-03
7.73085224E-01, 7.94321956E-01, 3.56135694E-03, 7.65077137E-03
7.94321956E-01, 8.15554430E-01, 3.66108404E-03, 7.65309421E-03
8.15554430E-01, 8.36789534E-01, 3.76263983E-03, 7.65217170E-03
8.36789534E-01, 8.58024231E-01, 3.85984030E-03, 7.65218952E-03
8.58024231E-01, 8.79257914E-01, 3.95071390E-03, 7.65214666E-03
8.79257914E-01, 9.00494387E-01, 4.05557202E-03, 7.65066678E-03
9.00494387E-01, 9.21728246E-01, 4.15048909E-03, 7.65231502E-03
9.21728246E-01, 9.42962988E-01, 4.24589947E-03, 7.65590015E-03
9.42962988E-01, 9.64197522E-01, 4.33631448E-03, 7.65138019E-03
9.64197522E-01, 9.85431886E-01, 4.44062439E-03, 7.65209796E-03
9.85431886E-01, 1.00666671E+00, 4.53305182E-03, 7.64902385E-03
1.00666671E+00, 1.02790139E+00, 4.62580860E-03, 7.65103796E-03
1.02790139E+00, 1.04913600E+00, 4.72522806E-03, 7.65163250E-03
1.04913600E+00, 1.07037063E+00, 4.81773985E-03, 7.65120652E-03
1.07037063E+00, 1.09160463E+00, 4.92297848E-03, 7.65083141E-03
1.09160463E+00, 1.11283909E+00, 5.01154215E-03, 7.65098486E-03
1.11283909E+00, 1.13407438E+00, 5.11105998E-03, 7.65565750E-03
1.13407438E+00, 1.15530859E+00, 5.20374061E-03, 7.65807078E-03
1.15530859E+00, 1.17654274E+00, 5.29598077E-03, 7.64365549E-03
1.17654274E+00, 1.19777750E+00, 5.39790501E-03, 7.65115607E-03
1.19777750E+00, 1.21901207E+00, 5.49326985E-03, 7.65095887E-03
1.21901207E+00, 1.24024638E+00, 5.59254647E-03, 7.64984324E-03
1.24024638E+00, 1.26148168E+00, 5.68253952E-03, 7.65134846E-03
1.26148168E+00, 1.28271623E+00, 5.78368380E-03, 7.65191626E-03
1.28271623E+00, 1.30395062E+00, 5.87889699E-03, 7.64550160E-03
1.30395062E+00, 1.32518483E+00, 5.97320399E-03, 7.64467326E-03
1.32518483E+00, 1.34642042E+00, 6.05882775E-03, 7.65008660E-03
1.34642042E+00, 1.36765408E+00, 6.16252580E-03, 7.65036387E-03
1.36765408E+00, 1.38888901E+00, 6.26181373E-03, 7.64880199E-03
1.38888901E+00, 1.41012396E+00, 6.34785100E-03, 7.65355555E-03
1.41012396E+00, 1.43135886E+00, 6.44483220E-03, 7.65364931E-03
1.43135886E+00, 1.45259275E+00, 6.53819018E-03, 7.65072861E-03
1.45259275E+00, 1.47382711E+00, 6.63562893E-03, 7.65476036E-03
1.47382711E+00, 1.49506191E+00, 6.73764196E-03, 7.64750154E-03
1.49506191E+00, 1.51629698E+00, 6.82993890E-03, 7.64969178E-03
1.51629698E+00, 1.53753168E+00, 6.93459899E-03, 7.64980517E-03
1.53753168E+00, 1.55876442E+00, 7.01970154E-03, 7.64600726E-03
1.55876442E+00, 1.57999939E+00, 7.11696811E-03, 7.65312836E-03
1.57999939E+00, 1.60123500E+00, 7.21047811E-03, 7.65171277E-03
1.60123500E+00, 1.62247007E+00, 7.30651123E-03, 7.64573823E-03
1.62247007E+00, 1.64370374E+00, 7.40999980E-03, 7.64840215E-03
1.64370374E+00, 1.66493812E+00, 7.50433302E-03, 7.64349842E-03
1.66493812E+00, 1.68617277E+00, 7.59567315E-03, 7.65432816E-03
1.68617277E+00, 1.70740699E+00, 7.69459963E-03, 7.64953934E-03
1.70740699E+00, 1.72864270E+00, 7.78124041E-03, 7.64678430E-03
1.72864270E+00, 1.74987494E+00, 7.88770245E-03, 7.64909019E-03
1.74987494E+00, 1.77111074E+00, 7.98316583E-03, 7.64719902E-03
1.77111074E+00, 1.79234654E+00, 8.07560120E-03, 7.64905958E-03
1.79234654E+00, 1.81358061E+00, 8.17361324E-03, 7.64641830E-03
1.81358061E+00, 1.83481324E+00, 8.26590128E-03, 7.64796849E-03
1.83481324E+00, 1.85605088E+00, 8.36221877E-03, 7.64927901E-03
1.85605088E+00, 1.87728280E+00, 8.45624501E-03, 7.64655281E-03
1.87728280E+00, 1.89851968E+00, 8.55914187E-03, 7.64676645E-03
1.89851968E+00, 1.91975409E+00, 8.65772944E-03, 7.64841695E-03
1.91975409E+00, 1.94098838E+00, 8.73974608E-03, 7.64500169E-03
1.94098838E+00, 1.96222246E+00, 8.83652061E-03, 7.64934213E-03
1.96222246E+00, 1.98345800E+00, 8.94325973E-03, 7.64589816E-03
1.98345800E+00, 2.00469373E+00, 9.03134367E-03, 7.64733738E-03
2.00469373E+00, 2.02592474E+00, 9.13174236E-03, 7.64801998E-03
2.02592474E+00, 2.04716287E+00, 9.24484351E-03, 7.65238960E-03
2.04716287E+00, 2.06839599E+00, 9.31870077E-03, 7.64966051E-03
2.06839599E+00, 2.08962866E+00, 9.43102407E-03, 7.64821276E-03
