wavelength (AA) lower bin boundary,  wavelength (AA) upper bin boundary,  Efficiency, rel. err.
7.30618129E-01, 7.51852379E-01, 3.21054220E-01, 4.70276961E-02
7.51852379E-01, 7.73085224E-01, 3.29895761E-01, 4.67230152E-02
7.73085224E-01, 7.94321956E-01, 3.38148574E-01, 4.64631198E-02
7.94321956E-01, 8.15554430E-01, 3.45408716E-01, 4.62976208E-02
8.15554430E-01, 8.36789534E-01, 3.52648301E-01, 4.58053981E-02
8.36789534E-01, 8.58024231E-01, 3.59923426E-01, 4.56875093E-02
8.58024231E-01, 8.79257914E-01, 3.65760234E-01, 4.53535373E-02
8.79257914E-01, 9.00494387E-01, 3.74405948E-01, 4.51496498E-02
9.00494387E-01, 9.21728246E-01, 3.80780405E-01, 4.49822692E-02
9.21728246E-01, 9.42962988E-01, 3.87254047E-01, 4.46694469E-02
9.42962988E-01, 9.64197522E-01, 3.94128319E-01, 4.44923097E-02
9.64197522E-01, 9.85431886E-01, 4.01166810E-01, 4.41194747E-02
9.85431886E-01, 1.00666671E+00, 4.07623021E-01, 4.39451446E-02
1.00666671E+00, 1.02790139E+00, 4.14121046E-01, 4.37211312E-02
1.02790139E+00, 1.04913600E+00, 4.19994878E-01, 4.34161160E-02
1.04913600E+00, 1.07037063E+00, 4.25647506E-01, 4.31218817E-02
1.07037063E+00, 1.09160463E+00, 4.33304154E-01, 4.30286716E-02
1.09160463E+00, 1.11283909E+00, 4.39097725E-01, 4.28357313E-02
1.11283909E+00, 1.13407438E+00, 4.45019099E-01, 4.24580130E-02
1.13407438E+00, 1.15530859E+00, 4.50636243E-01, 4.22302843E-02
1.15530859E+00, 1.17654274E+00, 4.56396116E-01, 4.19230936E-02
1.17654274E+00, 1.19777750E+00, 4.62732081E-01, 4.18168523E-02
1.19777750E+00, 1.21901207E+00, 4.68642382E-01, 4.15045908E-02
1.21901207E+00, 1.24024638E+00, 4.74802732E-01, 4.12527147E-02
1.24024638E+00, 1.26148168E+00, 4.79525486E-01, 4.10775199E-02
1.26148168E+00, 1.28271623E+00, 4.84995030E-01, 4.08794397E-02
1.28271623E+00, 1.30395062E+00, 4.90970664E-01, 4.06921198E-02
1.30395062E+00, 1.32518483E+00, 4.96614864E-01, 4.03958065E-02
1.32518483E+00, 1.34642042E+00, 5.01571110E-01, 4.01803398E-02
1.34642042E+00, 1.36765408E+00, 5.07207184E-01, 3.98497743E-02
1.36765408E+00, 1.38888901E+00, 5.13682429E-01, 3.98054460E-02
1.38888901E+00, 1.41012396E+00, 5.17850930E-01, 3.95803492E-02
1.41012396E+00, 1.43135886E+00, 5.22249185E-01, 3.92682043E-02
1.43135886E+00, 1.45259275E+00, 5.27823224E-01, 3.92076607E-02
1.45259275E+00, 1.47382711E+00, 5.31027093E-01, 3.88759878E-02
1.47382711E+00, 1.49506191E+00, 5.37537138E-01, 3.86265673E-02
1.49506191E+00, 1.51629698E+00, 5.41692975E-01, 3.83682723E-02
1.51629698E+00, 1.53753168E+00, 5.47512721E-01, 3.82128227E-02
1.53753168E+00, 1.55876442E+00, 5.51663802E-01, 3.80725121E-02
1.55876442E+00, 1.57999939E+00, 5.56486427E-01, 3.78864271E-02
1.57999939E+00, 1.60123500E+00, 5.61830873E-01, 3.75447311E-02
1.60123500E+00, 1.62247007E+00, 5.65724510E-01, 3.73985183E-02
1.62247007E+00, 1.64370374E+00, 5.69788266E-01, 3.72118498E-02
1.64370374E+00, 1.66493812E+00, 5.75035049E-01, 3.69944508E-02
1.66493812E+00, 1.68617277E+00, 5.79160675E-01, 3.68572899E-02
1.68617277E+00, 1.70740699E+00, 5.84381394E-01, 3.66252643E-02
1.70740699E+00, 1.72864270E+00, 5.88556193E-01, 3.63117479E-02
1.72864270E+00, 1.74987494E+00, 5.93392500E-01, 3.61299274E-02
1.74987494E+00, 1.77111074E+00, 5.96971955E-01, 3.59532635E-02
1.77111074E+00, 1.79234654E+00, 6.00793809E-01, 3.57406417E-02
1.79234654E+00, 1.81358061E+00, 6.05461706E-01, 3.56027311E-02
1.81358061E+00, 1.83481324E+00, 6.08335039E-01, 3.53622000E-02
1.83481324E+00, 1.85605088E+00, 6.13371884E-01, 3.52001189E-02
1.85605088E+00, 1.87728280E+00, 6.17204169E-01, 3.50046737E-02
1.87728280E+00, 1.89851968E+00, 6.20263491E-01, 3.47762050E-02
1.89851968E+00, 1.91975409E+00, 6.24602599E-01, 3.46757108E-02
1.91975409E+00, 1.94098838E+00, 6.27333166E-01, 3.45017391E-02
1.94098838E+00, 1.96222246E+00, 6.31813695E-01, 3.42938371E-02
1.96222246E+00, 1.98345800E+00, 6.35193615E-01, 3.40385226E-02
1.98345800E+00, 2.00469373E+00, 6.39865835E-01, 3.38485505E-02
2.00469373E+00, 2.02592474E+00, 6.43469082E-01, 3.37282213E-02
